sector;SCR read;SCR_int;SCR_ext;;;;;;;Byte offset rec;PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR;;;;;;;2;16;44100
0;0;;;;;;0,073475177304965;;;;0;0;0;0;;;;;;;;;
1;1819607;6065;107;6066,81632653061;1,81632653061206;22;1,61645390070922;;;1984;2006;3000;1984;2960;;;;;;;;;
2;3729900;12433;0;12434,1632653061;1,16326530612241;13;0,955177304964539;;;3989;4002;6120;3982;6080;;;;;;;;;
3;5566821;18556;21;18556,612244898;0,61224489795859;12;0,881702127659574;;;5994;6006;9120;5986;9080;;;;;;;;;
4;7452343;24841;43;24842,3265306122;1,32653061224482;11;0,80822695035461;;;7999;8010;12200;7992;12160;;;;;;;;;
5;9289007;30963;107;30964,7755102041;1,77551020408282;22;1,61645390070922;;;10004;10026;15200;9952;15160;;;;;;;;;
6;11174914;37249;214;37250,4897959184;1,48979591836542;17;1,2490780141844;;;12009;12026;18280;12006;18240;;;;;;;;;
7;13010978;43369;278;43372,9387755102;3,93877551020705;42;3,08595744680851;;;14014;14056;21280;13982;21240;;;;;;;;;
8;14824157;49413;257;49413,7551020408;0,75510204082093;1;0,073475177304965;;;16019;16020;24240;16000;24200;;;;;;;;;
9;16071793;53572;193;53577,0204081633;5,02040816326189;60;4,40851063829787;;;18024;18084;26280;18016;26240;;;;;;;;;
10;16732928;55776;128;55781,1020408163;5,10204081633128;63;4,62893617021277;;;20029;20092;27360;20028;27320;;;;;;;;;
11;17346064;57820;64;57821,9183673469;1,91836734693788;24;1,76340425531915;;;22034;22058;28360;21920;28320;;;;;;;;;
12;18006814;60022;214;60026;4;45;3,3063829787234;;;24039;24084;29440;24020;29400;;;;;;;;;
13;18667650;62225;150;62230,0816326531;5,08163265306212;62;4,5554609929078;;;26044;26106;30520;26040;30480;;;;;;;;;
14;19304957;64349;257;64352,5306122449;3,53061224490375;43;3,15943262411347;;;28049;28092;31560;28022;31520;;;;;;;;;
15;19916850;66389;150;66393,3469387755;4,34693877550308;48;3,5268085106383;;;30054;30102;32560;29960;32520;;;;;;;;;
16;20554714;68515;214;68515,7959183674;0,795918367351987;3;0,220425531914894;;;32059;32062;33600;31996;33560;;;;;;;;;
17;21191121;70637;21;70638,2448979592;1,24489795918635;12;0,881702127659574;;;34064;34076;34640;34006;34600;;;;;;;;;
18;21827914;72759;214;72760,693877551;1,69387755102071;17;1,2490780141844;;;36069;36086;35680;36016;35640;;;;;;;;;
19;22463164;74877;64;74883,1428571429;6,14285714285506;80;5,87801418439716;;;38074;38154;36720;38018;36680;;;;;;;;;
20;23076771;76922;171;76923,9591836735;1,95918367346167;19;1,39602836879433;;;40079;40098;37720;39962;37680;;;;;;;;;
21;23713135;79043;235;79046,4081632653;3,40816326531058;44;3,23290780141844;;;42084;42128;38760;42058;38720;;;;;;;;;
22;24349371;81164;171;81168,8571428572;4,85714285714494;61;4,48198581560284;;;44089;44150;39800;44078;39760;;;;;;;;;
23;24962893;83209;193;83209,6734693878;0,673469387751538;4;0,293900709219858;;;46094;46098;40800;46030;40760;;;;;;;;;
24;25599085;85330;85;85332,1224489796;2,1224489795859;23;1,68992907801418;;;48099;48122;41840;48050;41800;;;;;;;;;
25;26209607;87365;107;87372,9387755102;7,93877551020705;106;7,78836879432624;;;50104;50210;42840;50070;42800;;;;;;;;;
26;26799514;89331;214;89332,1224489796;1,12244897960045;3;0,220425531914894;;;52109;52112;43800;51972;43760;;;;;;;;;
27;27460135;91533;235;91536,2040816327;3,20408163264801;30;2,20425531914894;;;54114;54144;44880;54074;44840;;;;;;;;;
28;28097143;93657;43;93658,6530612245;1,65306122449692;25;1,83687943262411;;;56119;56144;45920;56074;45880;;;;;;;;;
