PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
1 ; 0 ; 0 ; 0 ; 0 
1995 ; 2160 ; 1962 ; 2120 ; 1 
4001 ; 4360 ; 3968 ; 4320 ; 2 
5999 ; 6600 ; 5968 ; 6560 ; 3 
8017 ; 8840 ; 7988 ; 8800 ; 4 
10027 ; 11040 ; 9994 ; 11000 ; 5 
12017 ; 13200 ; 11986 ; 13160 ; 6 
14027 ; 15400 ; 13996 ; 15360 ; 7 
16041 ; 17560 ; 16010 ; 17520 ; 8 
18035 ; 19720 ; 18002 ; 19680 ; 9 
20097 ; 21920 ; 20010 ; 21880 ; 10 
22045 ; 24080 ; 22014 ; 24040 ; 11 
24099 ; 25760 ; 24026 ; 25720 ; 12 
26115 ; 26440 ; 25898 ; 26400 ; 13 
28257 ; 27080 ; 28046 ; 27040 ; 14 
30141 ; 27680 ; 30020 ; 27640 ; 15 
32169 ; 28280 ; 32048 ; 28240 ; 16 
34095 ; 28840 ; 33976 ; 28800 ; 17 
36107 ; 29440 ; 35988 ; 29400 ; 18 
38129 ; 30040 ; 38004 ; 30000 ; 19 
40177 ; 30640 ; 39970 ; 30600 ; 20 
42127 ; 31240 ; 42004 ; 31200 ; 21 
44089 ; 31800 ; 43966 ; 31760 ; 22 
46175 ; 32400 ; 46042 ; 32360 ; 23 
48207 ; 33000 ; 48080 ; 32960 ; 24 
50109 ; 33560 ; 49982 ; 33520 ; 25 
52225 ; 34160 ; 52002 ; 34120 ; 26 
54205 ; 34760 ; 54074 ; 34720 ; 27 
56157 ; 35320 ; 56022 ; 35280 ; 28 
58225 ; 35920 ; 58106 ; 35880 ; 29 
60189 ; 36480 ; 60054 ; 36440 ; 30 
62281 ; 37080 ; 62066 ; 37040 ; 31 
64173 ; 37640 ; 64042 ; 37600 ; 32 
66161 ; 38200 ; 66028 ; 38160 ; 33 
68259 ; 38800 ; 68128 ; 38760 ; 34 
70219 ; 39360 ; 70084 ; 39320 ; 35 
72331 ; 39960 ; 72122 ; 39920 ; 36 
74215 ; 40520 ; 74086 ; 40480 ; 37 
76189 ; 41080 ; 76054 ; 41040 ; 38 
78279 ; 41680 ; 78150 ; 41640 ; 39 
80195 ; 42200 ; 79972 ; 42160 ; 40 
82281 ; 42800 ; 82150 ; 42760 ; 41 
84305 ; 43360 ; 84172 ; 43320 ; 42 
86255 ; 43920 ; 86126 ; 43880 ; 43 
88267 ; 44520 ; 88138 ; 44480 ; 44 
90331 ; 45120 ; 90122 ; 45080 ; 45 
92309 ; 45720 ; 92182 ; 45680 ; 46 
94239 ; 46280 ; 94124 ; 46240 ; 47 
96305 ; 46880 ; 96176 ; 46840 ; 48 
98235 ; 47440 ; 98108 ; 47400 ; 49 
100275 ; 48040 ; 100150 ; 48000 ; 50 
102353 ; 48640 ; 102142 ; 48600 ; 51 
104279 ; 49240 ; 104140 ; 49200 ; 52 
106331 ; 49840 ; 106202 ; 49800 ; 53 
108253 ; 50400 ; 108128 ; 50360 ; 54 
110335 ; 51000 ; 110202 ; 50960 ; 55 
112273 ; 51560 ; 112076 ; 51520 ; 56 
114269 ; 52160 ; 114136 ; 52120 ; 57 
116295 ; 52760 ; 116174 ; 52720 ; 58 
118347 ; 53360 ; 118222 ; 53320 ; 59 
120351 ; 53960 ; 120234 ; 53920 ; 60 
122397 ; 54560 ; 122266 ; 54520 ; 61 
124315 ; 55120 ; 124190 ; 55080 ; 62 
126343 ; 55720 ; 126136 ; 55680 ; 63 
128299 ; 56320 ; 128178 ; 56280 ; 64 
130327 ; 56920 ; 130200 ; 56880 ; 65 
132385 ; 57520 ; 132260 ; 57480 ; 66 
134395 ; 58080 ; 134266 ; 58040 ; 67 
136435 ; 58640 ; 136298 ; 58600 ; 68 
138413 ; 59200 ; 138276 ; 59160 ; 69 
140461 ; 59760 ; 140326 ; 59720 ; 70 
142361 ; 60280 ; 142224 ; 60240 ; 71 
144503 ; 60880 ; 144290 ; 60840 ; 72 
146357 ; 61440 ; 146236 ; 61400 ; 73 
148441 ; 62040 ; 148308 ; 62000 ; 74 
150399 ; 62600 ; 150272 ; 62560 ; 75 
152473 ; 63200 ; 152352 ; 63160 ; 76 
154395 ; 63760 ; 154188 ; 63720 ; 77 
156369 ; 64360 ; 156240 ; 64320 ; 78 
158407 ; 64960 ; 158278 ; 64920 ; 79 
160465 ; 65560 ; 160334 ; 65520 ; 80 
162509 ; 66160 ; 162374 ; 66120 ; 81 
164455 ; 66720 ; 164320 ; 66680 ; 82 
166493 ; 67320 ; 166284 ; 67280 ; 83 
168451 ; 67920 ; 168328 ; 67880 ; 84 
170417 ; 68520 ; 170288 ; 68480 ; 85 
172419 ; 69160 ; 172292 ; 69120 ; 86 
174523 ; 69800 ; 174408 ; 69760 ; 87 
176499 ; 70400 ; 176382 ; 70360 ; 88 
178463 ; 71000 ; 178340 ; 70960 ; 89 
180547 ; 71640 ; 180422 ; 71600 ; 90 
182547 ; 72240 ; 182418 ; 72200 ; 91 
184445 ; 72760 ; 184230 ; 72720 ; 92 
