PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
0 ; 0 ; 0 ; 0 ; 0 
2010 ; 1280 ; 1958 ; 1240 ; 1 
4004 ; 2560 ; 3950 ; 2520 ; 2 
6006 ; 3840 ; 5956 ; 3800 ; 3 
8002 ; 5120 ; 7946 ; 5080 ; 4 
10034 ; 6440 ; 9980 ; 6400 ; 5 
12048 ; 7720 ; 11994 ; 7680 ; 6 
14058 ; 9000 ; 14002 ; 8960 ; 7 
16036 ; 10280 ; 15982 ; 10240 ; 8 
18034 ; 11560 ; 17982 ; 11520 ; 9 
20032 ; 12840 ; 19978 ; 12800 ; 10 
22064 ; 14160 ; 22010 ; 14120 ; 11 
24070 ; 15440 ; 24012 ; 15400 ; 12 
26076 ; 16720 ; 26022 ; 16680 ; 13 
28078 ; 18000 ; 28022 ; 17960 ; 14 
30080 ; 19280 ; 30024 ; 19240 ; 15 
32094 ; 20560 ; 32038 ; 20520 ; 16 
34104 ; 21840 ; 34050 ; 21800 ; 17 
36112 ; 23120 ; 36060 ; 23080 ; 18 
38078 ; 24360 ; 38022 ; 24320 ; 19 
40088 ; 25520 ; 40014 ; 25480 ; 20 
42198 ; 26400 ; 42084 ; 26360 ; 21 
44200 ; 27080 ; 44022 ; 27040 ; 22 
46104 ; 27760 ; 45998 ; 27720 ; 23 
48142 ; 28480 ; 48038 ; 28440 ; 24 
50150 ; 29200 ; 50046 ; 29160 ; 25 
52144 ; 29920 ; 52042 ; 29880 ; 26 
54216 ; 30640 ; 54040 ; 30600 ; 27 
56146 ; 31320 ; 56042 ; 31280 ; 28 
58150 ; 32040 ; 58048 ; 32000 ; 29 
60156 ; 32760 ; 60054 ; 32720 ; 30 
62170 ; 33480 ; 62068 ; 33440 ; 31 
64162 ; 34160 ; 63980 ; 34120 ; 32 
66198 ; 34880 ; 66092 ; 34840 ; 33 
68238 ; 35600 ; 68132 ; 35560 ; 34 
70172 ; 36280 ; 70066 ; 36240 ; 35 
72208 ; 37000 ; 72102 ; 36960 ; 36 
74298 ; 37720 ; 74122 ; 37680 ; 37 
76220 ; 38400 ; 76116 ; 38360 ; 38 
78244 ; 39120 ; 78142 ; 39080 ; 39 
80262 ; 39840 ; 80158 ; 39800 ; 40 
82282 ; 40560 ; 82180 ; 40520 ; 41 
84264 ; 41240 ; 84084 ; 41200 ; 42 
86214 ; 41920 ; 86106 ; 41880 ; 43 
88298 ; 42640 ; 88192 ; 42600 ; 44 
90262 ; 43320 ; 90156 ; 43280 ; 45 
92212 ; 44000 ; 92106 ; 43960 ; 46 
94242 ; 44720 ; 94138 ; 44680 ; 47 
96346 ; 45440 ; 96166 ; 45400 ; 48 
98254 ; 46120 ; 98150 ; 46080 ; 49 
100274 ; 46840 ; 100172 ; 46800 ; 50 
102282 ; 47560 ; 102180 ; 47520 ; 51 
104278 ; 48280 ; 104174 ; 48240 ; 52 
106258 ; 48960 ; 106076 ; 48920 ; 53 
108252 ; 49680 ; 108150 ; 49640 ; 54 
110336 ; 50440 ; 110234 ; 50400 ; 55 
112338 ; 51160 ; 112234 ; 51120 ; 56 
114400 ; 51880 ; 114220 ; 51840 ; 57 
116286 ; 52560 ; 116180 ; 52520 ; 58 
118280 ; 53280 ; 118176 ; 53240 ; 59 
120348 ; 54040 ; 120248 ; 54000 ; 60 
122384 ; 54760 ; 122212 ; 54720 ; 61 
124354 ; 55480 ; 124254 ; 55440 ; 62 
126336 ; 56200 ; 126232 ; 56160 ; 63 
128320 ; 56920 ; 128216 ; 56880 ; 64 
130460 ; 57640 ; 130278 ; 57600 ; 65 
132374 ; 58280 ; 132190 ; 58240 ; 66 
134384 ; 58960 ; 134200 ; 58920 ; 67 
136384 ; 59640 ; 136276 ; 59600 ; 68 
138376 ; 60320 ; 138272 ; 60280 ; 69 
140334 ; 61000 ; 140230 ; 60960 ; 70 
142364 ; 61720 ; 142260 ; 61680 ; 71 
144402 ; 62440 ; 144296 ; 62400 ; 72 
146384 ; 63120 ; 146208 ; 63080 ; 73 
148376 ; 63840 ; 148274 ; 63800 ; 74 
150434 ; 64600 ; 150334 ; 64560 ; 75 
152402 ; 65320 ; 152298 ; 65280 ; 76 
154460 ; 66040 ; 154358 ; 66000 ; 77 
156428 ; 66760 ; 156328 ; 66720 ; 78 
158474 ; 67520 ; 158374 ; 67480 ; 79 
160414 ; 68240 ; 160314 ; 68200 ; 80 
162392 ; 68960 ; 162294 ; 68920 ; 81 
164486 ; 69760 ; 164388 ; 69720 ; 82 
166540 ; 70520 ; 166370 ; 70480 ; 83 
168492 ; 71280 ; 168396 ; 71240 ; 84 
170460 ; 72040 ; 170364 ; 72000 ; 85 
172554 ; 72760 ; 172374 ; 72720 ; 86 
174416 ; 73400 ; 174234 ; 73360 ; 87 
176472 ; 74120 ; 176364 ; 74080 ; 88 
178500 ; 74840 ; 178396 ; 74800 ; 89 
180510 ; 75560 ; 180408 ; 75520 ; 90 
182508 ; 76280 ; 182406 ; 76240 ; 91 
184446 ; 76960 ; 184270 ; 76920 ; 92 
186486 ; 77720 ; 186388 ; 77680 ; 93 
188504 ; 78480 ; 188408 ; 78440 ; 94 
190484 ; 79200 ; 190310 ; 79160 ; 95 
192470 ; 79960 ; 192376 ; 79920 ; 96 
194560 ; 80760 ; 194462 ; 80720 ; 97 
196558 ; 81480 ; 196380 ; 81440 ; 98 
