sector;pts_read;dts_read; NB_SAMPLES_PTS ;;;;;;;;;
0;105;24;0;;105;0;23;-1;;;;
1;2717;2636;1280;5,33333333333333;2717;0;2636;0;;;;
2;5330;5248;2560;10,6666666666667;5330;0;5248;0;;;;
3;7942;7860;3840;16;7942;0;7860;0;;;;
4;10554;10472;5120;21,3333333333333;10554;0;10472;0;;;;
5;13248;13166;6440;26,8333333333333;13248;0;13166;0;;;;
6;15860;15779;7720;32,1666666666667;15860;0;15779;0;;;;
7;18472;18391;9000;37,5;18472;0;18391;0;;;;
8;21085;21003;10280;42,8333333333333;21085;0;21003;0;;;;
9;23697;23615;11560;48,1666666666667;23697;0;23615;0;;;;
10;26309;26228;12840;53,5;26309;0;26228;0;;;;
11;29003;28921;14160;59;29003;0;28921;0;;;;
12;31615;31534;15440;64,3333333333333;31615;0;31534;0;;;;
13;34228;34146;16720;69,6666666666667;34228;0;34146;0;;;;
14;36840;36758;18000;75;36840;0;36758;0;;;;
15;39452;39370;19280;80,3333333333333;39452;0;39370;0;;;;
16;42064;41983;20560;85,6666666666667;42064;0;41983;0;;;;
17;44677;44595;21840;91;44677;0;44595;0;;;;
18;47289;47207;23120;96,3333333333333;47289;0;47207;0;;;;
19;49819;49738;24360;101,5;49819;0;49738;0;;;;
20;52187;52105;25520;106,333333333333;52187;0;52105;0;;;;
21;53983;53901;26360;109,833333333333;53901;-82;53819;-82;;;;
22;55370;55289;27080;112,833333333333;55370;0;55289;0;;;;
23;56758;56677;27760;115,666666666667;56758;0;56677;0;;;;
24;58228;58146;28480;118,666666666667;58228;0;58146;0;;;;
25;59697;59615;29200;121,666666666667;59697;0;59615;0;;;;
26;61166;61085;29920;124,666666666667;61166;0;61085;0;;;;
27;62636;62554;30640;127,666666666667;62636;0;62554;0;;;;
28;64024;63942;31320;130,5;64023;-1;63942;0;;;;
29;65493;65411;32040;133,5;65493;0;65411;0;;;;
30;66962;66881;32760;136,5;66962;0;66881;0;;;;
31;68432;68350;33480;139,5;68432;0;68350;0;;;;
32;69819;69738;34160;142,333333333333;69819;0;69738;0;;;;
33;71289;71207;34880;145,333333333333;71289;0;71207;0;;;;
34;72758;72677;35600;148,333333333333;72758;0;72677;0;;;;
35;74146;74064;36280;151,166666666667;74146;0;74064;0;;;;
36;75615;75534;37000;154,166666666667;75615;0;75534;0;;;;
37;77085;77003;37720;157,166666666667;77085;0;77003;0;;;;
38;78472;78391;38400;160;78472;0;78391;0;;;;
39;79942;79860;39120;163;79942;0;79860;0;;;;
40;81411;81330;39840;166;81411;0;81330;0;;;;
41;82881;82799;40560;169;82881;0;82799;0;;;;
42;84268;84187;41240;171,833333333333;84268;0;84187;0;;;;
43;85656;85575;41920;174,666666666667;85656;0;85575;0;;;;
44;87126;87044;42640;177,666666666667;87126;0;87044;0;;;;
45;88513;88432;43320;180,5;88513;0;88432;0;;;;
46;89901;89819;44000;183,333333333333;89901;0;89819;0;;;;
47;91370;91289;44720;186,333333333333;91370;0;91289;0;;;;
48;92840;92758;45440;189,333333333333;92840;0;92758;0;;;;
49;94228;94146;46120;192,166666666667;94228;0;94146;0;;;;
50;95697;95615;46840;195,166666666667;95697;0;95615;0;;;;
51;97166;97085;47560;198,166666666667;97166;0;97085;0;;;;
52;98636;98554;48280;201,166666666667;98636;0;98554;0;;;;
53;100024;99942;48960;204;100023;-1;99942;0;;;;
54;101493;101411;49680;207;101493;0;101411;0;;;;
55;103044;102962;50440;210,166666666667;103044;0;102962;0;;;;
56;104513;104432;51160;213,166666666667;104513;0;104432;0;;;;
57;105983;105901;51880;216,166666666667;105983;0;105901;0;;;;
58;107370;107289;52560;219;107370;0;107289;0;;;;
59;108840;108758;53280;222;108840;0;108758;0;;;;
60;110391;110309;54040;225,166666666667;110391;0;110309;0;;;;
61;111860;111779;54760;228,166666666667;111860;0;111779;0;;;;
62;113330;113248;55480;231,166666666667;113330;0;113248;0;;;;
63;114799;114717;56200;234,166666666667;114799;0;114717;0;;;;
64;116268;116187;56920;237,166666666667;116268;0;116187;0;;;;
65;117738;117656;57640;240,166666666667;117738;0;117656;0;;;;
66;119044;118962;58280;242,833333333333;119044;0;118962;0;;;;
67;120432;120350;58960;245,666666666667;120432;0;120350;0;;;;
68;121819;121738;59640;248,5;121819;0;121738;0;;;;
69;123207;123126;60320;251,333333333333;123207;0;123126;0;;;;
70;124595;124513;61000;254,166666666667;124595;0;124513;0;;;;
71;126064;125983;61720;257,166666666667;126064;0;125983;0;;;;
72;127534;127452;62440;260,166666666667;127534;0;127452;0;;;;
73;128921;128840;63120;263;128921;0;128840;0;;;;
74;130391;130309;63840;266;130391;0;130309;0;;;;
75;131942;131860;64600;269,166666666667;131942;0;131860;0;;;;
76;133411;133330;65320;272,166666666667;133411;0;133330;0;;;;
77;134881;134799;66040;275,166666666667;134881;0;134799;0;;;;
78;136350;136268;66760;278,166666666667;136350;0;136268;0;;;;
79;137901;137819;67480;281,166666666667;137819;-82;137738;-81;;;;
80;139370;139289;68240;284,333333333333;139370;0;139289;0;;;;
81;140840;140758;68960;287,333333333333;140840;0;140758;0;;;;
82;142472;142391;69760;290,666666666667;142472;0;142391;0;;;;
83;144024;143942;70520;293,833333333333;144023;-1;143942;0;;;;
84;145575;145493;71280;297;145575;0;145493;0;;;;
85;147126;147044;72040;300,166666666667;147126;0;147044;0;;;;
86;148595;148513;72760;303,166666666667;148595;0;148513;0;;;;
87;149901;149819;73400;305,833333333333;149901;0;149819;0;;;;
88;151370;151289;74120;308,833333333333;151370;0;151289;0;;;;
89;152840;152758;74840;311,833333333333;152840;0;152758;0;;;;
90;154309;154228;75560;314,833333333333;154309;0;154228;0;;;;
91;155779;155697;76280;317,833333333333;155779;0;155697;0;;;;
92;157166;157085;76960;320,666666666667;157166;0;157085;0;;;;
93;158717;158636;77720;323,833333333333;158717;0;158636;0;;;;
94;160268;160187;78480;327;160268;0;160187;0;;;;
95;161738;161656;79200;330;161738;0;161656;0;;;;
96;163289;163207;79960;333,166666666667;163289;0;163207;0;;;;
97;164921;164840;80760;336,5;164921;0;164840;0;;;;
98;166391;166309;81480;339,5;166391;0;166309;0;;;;
99;167860;167779;82200;342,5;167860;0;167779;0;;;;
100;169411;169330;82960;345,666666666667;169411;0;169330;0;;;;
101;170962;170881;83720;348,833333333333;170962;0;170881;0;;;;
102;172595;172513;84520;352,166666666667;172595;0;172513;0;;;;
103;174228;174146;85320;355,5;174228;0;174146;0;;;;
104;175860;175779;86120;358,833333333333;175860;0;175779;0;;;;
105;177493;177411;86920;362,166666666667;177493;0;177411;0;;;;
106;179044;178962;87680;365,333333333333;179044;0;178962;0;;;;
107;180432;180350;88360;368,166666666667;180432;0;180350;0;;;;
108;181819;181738;89040;371;181819;0;181738;0;;;;
109;183289;183207;89760;374;183289;0;183207;0;;;;
110;184758;184677;90480;377;184758;0;184677;0;;;;
111;186146;186064;91160;379,833333333333;186146;0;186064;0;;;;
112;187615;187534;91880;382,833333333333;187615;0;187534;0;;;;
113;189166;189085;92640;386;189166;0;189085;0;;;;
114;190636;190554;93360;389;190636;0;190554;0;;;;
115;192187;192105;94120;392,166666666667;192187;0;192105;0;;;;
116;193738;193656;94880;395,333333333333;193738;0;193656;0;;;;
117;195289;195207;95640;398,5;195289;0;195207;0;;;;
118;196840;196758;96400;401,666666666667;196840;0;196758;0;;;;
119;198391;198309;97160;404,833333333333;198391;0;198309;0;;;;
120;199860;199779;97880;407,833333333333;199860;0;199779;0;;;;
121;201493;201411;98680;411,166666666667;201493;0;201411;0;;;;
122;203044;202962;99440;414,333333333333;203044;0;202962;0;;;;
123;204595;204513;100200;417,5;204595;0;204513;0;;;;
124;206309;206228;101040;421;206309;0;206228;0;;;;
125;207860;207779;101800;424,166666666667;207860;0;207779;0;;;;
126;209493;209411;102600;427,5;209493;0;209411;0;;;;
127;211044;210962;103360;430,666666666667;211044;0;210962;0;;;;
128;212432;212350;104040;433,5;212432;0;212350;0;;;;
129;213819;213738;104720;436,333333333333;213819;0;213738;0;;;;
130;215289;215207;105440;439,333333333333;215289;0;215207;0;;;;
131;216840;216758;106200;442,5;216840;0;216758;0;;;;
132;218228;218146;106880;445,333333333333;218228;0;218146;0;;;;
133;219779;219697;107640;448,5;219779;0;219697;0;;;;
134;221330;221248;108400;451,666666666667;221330;0;221248;0;;;;
135;222881;222799;109160;454,833333333333;222881;0;222799;0;;;;
136;224513;224432;109960;458,166666666667;224513;0;224432;0;;;;
137;226064;225983;110720;461,333333333333;226064;0;225983;0;;;;
138;227615;227534;111480;464,5;227615;0;227534;0;;;;
