PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
0 ; 0 ; 0 ; 0 ; 0 
2018 ; 1840 ; 1946 ; 1800 ; 1 
4054 ; 3760 ; 3982 ; 3720 ; 2 
6010 ; 5600 ; 5938 ; 5560 ; 3 
8060 ; 7520 ; 7988 ; 7480 ; 4 
10060 ; 9360 ; 9986 ; 9320 ; 5 
12048 ; 11200 ; 11980 ; 11160 ; 6 
14018 ; 13040 ; 13946 ; 13000 ; 7 
16052 ; 14960 ; 15980 ; 14920 ; 8 
18084 ; 16880 ; 18012 ; 16840 ; 9 
20088 ; 18720 ; 20012 ; 18680 ; 10 
22046 ; 20560 ; 21870 ; 20520 ; 11 
24108 ; 22480 ; 23928 ; 22440 ; 12 
26146 ; 24400 ; 25958 ; 24360 ; 13 
28206 ; 26320 ; 28022 ; 26280 ; 14 
30064 ; 28080 ; 29992 ; 28040 ; 15 
32104 ; 30000 ; 32032 ; 29960 ; 16 
34084 ; 31840 ; 34016 ; 31800 ; 17 
36140 ; 33760 ; 36068 ; 33720 ; 18 
38138 ; 35600 ; 38070 ; 35560 ; 19 
40114 ; 37440 ; 40042 ; 37400 ; 20 
42122 ; 39280 ; 42052 ; 39240 ; 21 
44100 ; 41120 ; 44022 ; 41080 ; 22 
46144 ; 43040 ; 46064 ; 43000 ; 23 
48114 ; 44880 ; 47930 ; 44840 ; 24 
50168 ; 46800 ; 49982 ; 46760 ; 25 
52232 ; 48720 ; 52044 ; 48680 ; 26 
54120 ; 50560 ; 54046 ; 50520 ; 27 
56170 ; 52480 ; 56102 ; 52440 ; 28 
58162 ; 54320 ; 58088 ; 54280 ; 29 
60176 ; 55760 ; 59926 ; 55720 ; 30 
62192 ; 56960 ; 62054 ; 56920 ; 31 
64248 ; 57760 ; 64084 ; 57720 ; 32 
66262 ; 58640 ; 66086 ; 58600 ; 33 
68242 ; 59520 ; 68076 ; 59480 ; 34 
70210 ; 60320 ; 70052 ; 60280 ; 35 
72188 ; 61200 ; 72020 ; 61160 ; 36 
74170 ; 62080 ; 74010 ; 62040 ; 37 
76280 ; 62960 ; 76122 ; 62920 ; 38 
78254 ; 63840 ; 78096 ; 63800 ; 39 
80332 ; 64720 ; 80004 ; 64680 ; 40 
82256 ; 65600 ; 82096 ; 65560 ; 41 
84316 ; 66560 ; 84160 ; 66520 ; 42 
86250 ; 67360 ; 86072 ; 67320 ; 43 
88230 ; 68240 ; 88078 ; 68200 ; 44 
90456 ; 69200 ; 90126 ; 69160 ; 45 
92350 ; 70080 ; 92194 ; 70040 ; 46 
94250 ; 70960 ; 94094 ; 70920 ; 47 
96342 ; 71840 ; 96176 ; 71800 ; 48 
98294 ; 72720 ; 98132 ; 72680 ; 49 
100542 ; 73680 ; 100204 ; 73640 ; 50 
102348 ; 74480 ; 102186 ; 74440 ; 51 
104304 ; 75360 ; 104140 ; 75320 ; 52 
106444 ; 76240 ; 106104 ; 76200 ; 53 
108404 ; 77120 ; 108234 ; 77080 ; 54 
110404 ; 78000 ; 110244 ; 77960 ; 55 
112384 ; 78800 ; 112048 ; 78760 ; 56 
114360 ; 79680 ; 114196 ; 79640 ; 57 
116326 ; 80560 ; 116162 ; 80520 ; 58 
118430 ; 81440 ; 118266 ; 81400 ; 59 
120396 ; 82320 ; 120238 ; 82280 ; 60 
122366 ; 83200 ; 122204 ; 83160 ; 61 
124322 ; 84000 ; 124152 ; 83960 ; 62 
126406 ; 84960 ; 126248 ; 84920 ; 63 
128504 ; 85840 ; 128186 ; 85800 ; 64 
130464 ; 86720 ; 130302 ; 86680 ; 65 
132452 ; 87600 ; 132294 ; 87560 ; 66 
134402 ; 88400 ; 134072 ; 88360 ; 67 
136330 ; 89280 ; 136170 ; 89240 ; 68 
138424 ; 90240 ; 138264 ; 90200 ; 69 
140444 ; 91040 ; 140254 ; 91000 ; 70 
142364 ; 91840 ; 142190 ; 91800 ; 71 
144416 ; 92720 ; 144246 ; 92680 ; 72 
146486 ; 93520 ; 146138 ; 93480 ; 73 
148512 ; 94400 ; 148342 ; 94360 ; 74 
150360 ; 95200 ; 150194 ; 95160 ; 75 
152484 ; 96080 ; 152158 ; 96040 ; 76 
154408 ; 96960 ; 154252 ; 96920 ; 77 
156498 ; 97920 ; 156338 ; 97880 ; 78 
158436 ; 98720 ; 158276 ; 98680 ; 79 
160492 ; 99680 ; 160338 ; 99640 ; 80 
162598 ; 100560 ; 162278 ; 100520 ; 81 
164516 ; 101440 ; 164360 ; 101400 ; 82 
166434 ; 102320 ; 166274 ; 102280 ; 83 
168510 ; 103200 ; 168354 ; 103160 ; 84 
170538 ; 104160 ; 170384 ; 104120 ; 85 
172598 ; 105040 ; 172272 ; 105000 ; 86 
174494 ; 105920 ; 174328 ; 105880 ; 87 
176532 ; 106880 ; 176380 ; 106840 ; 88 
178454 ; 107680 ; 178300 ; 107640 ; 89 
180474 ; 108640 ; 180316 ; 108600 ; 90 
182536 ; 109520 ; 182202 ; 109480 ; 91 
184456 ; 110400 ; 184296 ; 110360 ; 92 
186492 ; 111360 ; 186330 ; 111320 ; 93 
188532 ; 112240 ; 188380 ; 112200 ; 94 
190552 ; 113200 ; 190396 ; 113160 ; 95 
192588 ; 114080 ; 192426 ; 114040 ; 96 
194512 ; 114960 ; 194350 ; 114920 ; 97 
196716 ; 115920 ; 196394 ; 115880 ; 98 
198586 ; 116800 ; 198434 ; 116760 ; 99 
200572 ; 117760 ; 200420 ; 117720 ; 100 
202574 ; 118640 ; 202416 ; 118600 ; 101 
204588 ; 119600 ; 204432 ; 119560 ; 102 
206584 ; 120480 ; 206430 ; 120440 ; 103 
208602 ; 121440 ; 208450 ; 121400 ; 104 
210666 ; 122320 ; 210338 ; 122280 ; 105 
212524 ; 123200 ; 212374 ; 123160 ; 106 
214598 ; 124160 ; 214424 ; 124120 ; 107 
216618 ; 124960 ; 216448 ; 124920 ; 108 
218668 ; 125840 ; 218496 ; 125800 ; 109 
220596 ; 126640 ; 220424 ; 126600 ; 110 
222684 ; 127440 ; 222340 ; 127400 ; 111 
224608 ; 128240 ; 224436 ; 128200 ; 112 
226708 ; 129120 ; 226534 ; 129080 ; 113 
228588 ; 129920 ; 228412 ; 129880 ; 114 
230682 ; 130720 ; 230516 ; 130680 ; 115 
232702 ; 131600 ; 232536 ; 131560 ; 116 
234710 ; 132480 ; 234538 ; 132440 ; 117 
236676 ; 133280 ; 236506 ; 133240 ; 118 
238628 ; 134160 ; 238464 ; 134120 ; 119 
240888 ; 135120 ; 240564 ; 135080 ; 120 
242678 ; 135920 ; 242518 ; 135880 ; 121 
244600 ; 136800 ; 244442 ; 136760 ; 122 
246666 ; 137680 ; 246346 ; 137640 ; 123 
248684 ; 138640 ; 248532 ; 138600 ; 124 
250866 ; 139600 ; 250544 ; 139560 ; 125 
252698 ; 140480 ; 252550 ; 140440 ; 126 
254708 ; 141440 ; 254560 ; 141400 ; 127 
256738 ; 142320 ; 256586 ; 142280 ; 128 
258782 ; 143280 ; 258620 ; 143240 ; 129 
260678 ; 144080 ; 260350 ; 144040 ; 130 
262706 ; 145040 ; 262550 ; 145000 ; 131 
264932 ; 146000 ; 264606 ; 145960 ; 132 
266784 ; 146880 ; 266630 ; 146840 ; 133 
268790 ; 147840 ; 268636 ; 147800 ; 134 
270798 ; 148720 ; 270650 ; 148680 ; 135 
272776 ; 149680 ; 272632 ; 149640 ; 136 
274758 ; 150560 ; 274606 ; 150520 ; 137 
276712 ; 151520 ; 276560 ; 151480 ; 138 
278810 ; 152480 ; 278660 ; 152440 ; 139 
280746 ; 153440 ; 280602 ; 153400 ; 140 
282826 ; 154400 ; 282680 ; 154360 ; 141 
284728 ; 155360 ; 284586 ; 155320 ; 142 
286808 ; 156320 ; 286654 ; 156280 ; 143 
288738 ; 157280 ; 288588 ; 157240 ; 144 
290934 ; 158160 ; 290602 ; 158120 ; 145 
292810 ; 158960 ; 292640 ; 158920 ; 146 
294846 ; 159840 ; 294672 ; 159800 ; 147 
297008 ; 160720 ; 296676 ; 160680 ; 148 
298732 ; 161440 ; 298558 ; 161400 ; 149 
300856 ; 162400 ; 300696 ; 162360 ; 150 
303000 ; 163280 ; 302666 ; 163240 ; 151 
304778 ; 164080 ; 304616 ; 164040 ; 152 
306848 ; 165040 ; 306696 ; 165000 ; 153 
308774 ; 165840 ; 308448 ; 165800 ; 154 
310802 ; 166800 ; 310648 ; 166760 ; 155 
312978 ; 167760 ; 312658 ; 167720 ; 156 
314828 ; 168640 ; 314678 ; 168600 ; 157 
316818 ; 169600 ; 316666 ; 169560 ; 158 
318810 ; 170480 ; 318662 ; 170440 ; 159 
320912 ; 171520 ; 320760 ; 171480 ; 160 
322882 ; 172400 ; 322734 ; 172360 ; 161 
324806 ; 173360 ; 324662 ; 173320 ; 162 
326904 ; 174320 ; 326760 ; 174280 ; 163 
328816 ; 175280 ; 328678 ; 175240 ; 164 
330944 ; 176240 ; 330796 ; 176200 ; 165 
332882 ; 177200 ; 332732 ; 177160 ; 166 
334924 ; 178080 ; 334772 ; 178040 ; 167 
336884 ; 179040 ; 336732 ; 179000 ; 168 
338854 ; 179920 ; 338538 ; 179880 ; 169 
340928 ; 180960 ; 340786 ; 180920 ; 170 
342862 ; 181840 ; 342558 ; 181800 ; 171 
344864 ; 182880 ; 344722 ; 182840 ; 172 
346862 ; 183840 ; 346724 ; 183800 ; 173 
348914 ; 184960 ; 348778 ; 184920 ; 174 
350878 ; 185920 ; 350740 ; 185880 ; 175 
352988 ; 186960 ; 352686 ; 186920 ; 176 
354988 ; 188000 ; 354848 ; 187960 ; 177 
356998 ; 188960 ; 356860 ; 188920 ; 178 
358974 ; 190000 ; 358836 ; 189960 ; 179 
360904 ; 190880 ; 360742 ; 190840 ; 180 
362992 ; 191760 ; 362808 ; 191720 ; 181 
364906 ; 192560 ; 364736 ; 192520 ; 182 
366976 ; 193360 ; 366644 ; 193320 ; 183 
369034 ; 194240 ; 368862 ; 194200 ; 184 
371058 ; 195120 ; 370898 ; 195080 ; 185 
373096 ; 195920 ; 372762 ; 195880 ; 186 
374942 ; 196720 ; 374776 ; 196680 ; 187 
377066 ; 197680 ; 376906 ; 197640 ; 188 
378990 ; 198480 ; 378670 ; 198440 ; 189 
381050 ; 199440 ; 380890 ; 199400 ; 190 
382942 ; 200320 ; 382788 ; 200280 ; 191 
384962 ; 201200 ; 384810 ; 201160 ; 192 
387092 ; 202240 ; 386944 ; 202200 ; 193 
389070 ; 203120 ; 388916 ; 203080 ; 194 
391008 ; 204080 ; 390864 ; 204040 ; 195 
392972 ; 204960 ; 392828 ; 204920 ; 196 
395030 ; 206000 ; 394886 ; 205960 ; 197 
397070 ; 206960 ; 396926 ; 206920 ; 198 
399096 ; 208000 ; 398952 ; 207960 ; 199 
401050 ; 208880 ; 400900 ; 208840 ; 200 
402994 ; 209840 ; 402844 ; 209800 ; 201 
405024 ; 210720 ; 404870 ; 210680 ; 202 
407090 ; 211760 ; 406938 ; 211720 ; 203 
409056 ; 212640 ; 408900 ; 212600 ; 204 
411118 ; 213680 ; 410972 ; 213640 ; 205 
413054 ; 214560 ; 412902 ; 214520 ; 206 
415100 ; 215600 ; 414956 ; 215560 ; 207 
417126 ; 216560 ; 416990 ; 216520 ; 208 
419090 ; 217600 ; 418950 ; 217560 ; 209 
421092 ; 218560 ; 420954 ; 218520 ; 210 
423222 ; 219600 ; 422916 ; 219560 ; 211 
425048 ; 220560 ; 424908 ; 220520 ; 212 
427188 ; 221600 ; 427042 ; 221560 ; 213 
429166 ; 222640 ; 429026 ; 222600 ; 214 
431064 ; 223520 ; 430922 ; 223480 ; 215 
433134 ; 224560 ; 432984 ; 224520 ; 216 
435156 ; 225360 ; 434820 ; 225320 ; 217 
437070 ; 226160 ; 436898 ; 226120 ; 218 
439106 ; 227040 ; 438938 ; 227000 ; 219 
441316 ; 227920 ; 440986 ; 227880 ; 220 
443248 ; 228800 ; 443084 ; 228760 ; 221 
445184 ; 229680 ; 445022 ; 229640 ; 222 
447220 ; 230560 ; 447064 ; 230520 ; 223 
449246 ; 231520 ; 449088 ; 231480 ; 224 
451270 ; 232400 ; 450952 ; 232360 ; 225 
453114 ; 233280 ; 452960 ; 233240 ; 226 
455404 ; 234320 ; 455084 ; 234280 ; 227 
457214 ; 235200 ; 457066 ; 235160 ; 228 
459126 ; 236160 ; 458986 ; 236120 ; 229 
461202 ; 237120 ; 461054 ; 237080 ; 230 
463400 ; 238160 ; 463082 ; 238120 ; 231 
465270 ; 239120 ; 465130 ; 239080 ; 232 
467310 ; 240080 ; 467000 ; 240040 ; 233 
469184 ; 241040 ; 469042 ; 241000 ; 234 
471234 ; 242000 ; 470922 ; 241960 ; 235 
473290 ; 243040 ; 473144 ; 243000 ; 236 
475256 ; 243920 ; 474932 ; 243880 ; 237 
477216 ; 244880 ; 477068 ; 244840 ; 238 
479326 ; 245840 ; 479014 ; 245800 ; 239 
481242 ; 246800 ; 481100 ; 246760 ; 240 
483310 ; 247760 ; 482996 ; 247720 ; 241 
485230 ; 248720 ; 485084 ; 248680 ; 242 
487288 ; 249680 ; 486972 ; 249640 ; 243 
489308 ; 250720 ; 489164 ; 250680 ; 244 
491346 ; 251680 ; 491204 ; 251640 ; 245 
493302 ; 252720 ; 493162 ; 252680 ; 246 
495264 ; 253680 ; 495132 ; 253640 ; 247 
497478 ; 254800 ; 497176 ; 254760 ; 248 
499300 ; 255760 ; 499158 ; 255720 ; 249 
501302 ; 256720 ; 500986 ; 256680 ; 250 
503332 ; 257680 ; 503162 ; 257640 ; 251 
505302 ; 258560 ; 505134 ; 258520 ; 252 
507284 ; 259280 ; 506918 ; 259240 ; 253 
509418 ; 260160 ; 509242 ; 260120 ; 254 
511358 ; 260960 ; 511182 ; 260920 ; 255 
513414 ; 261760 ; 513218 ; 261720 ; 256 
515378 ; 262480 ; 515034 ; 262440 ; 257 
517288 ; 263280 ; 517114 ; 263240 ; 258 
519332 ; 264160 ; 519160 ; 264120 ; 259 
521534 ; 265040 ; 521186 ; 265000 ; 260 
523412 ; 265840 ; 523242 ; 265800 ; 261 
525428 ; 266720 ; 525266 ; 266680 ; 262 
527540 ; 267600 ; 527216 ; 267560 ; 263 
529302 ; 268400 ; 529144 ; 268360 ; 264 
531332 ; 269360 ; 531180 ; 269320 ; 265 
533370 ; 270240 ; 533212 ; 270200 ; 266 
535374 ; 271200 ; 535224 ; 271160 ; 267 
537388 ; 272080 ; 537066 ; 272040 ; 268 
539378 ; 273040 ; 539234 ; 273000 ; 269 
541526 ; 274000 ; 541202 ; 273960 ; 270 
543382 ; 274880 ; 543234 ; 274840 ; 271 
