PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
0 ; 0 ; 0 ; 0 ; 0 
2006 ; 3000 ; 1984 ; 2960 ; 1 
4002 ; 6120 ; 3982 ; 6080 ; 2 
6006 ; 9120 ; 5986 ; 9080 ; 3 
8010 ; 12200 ; 7992 ; 12160 ; 4 
10026 ; 15200 ; 9952 ; 15160 ; 5 
12026 ; 18280 ; 12006 ; 18240 ; 6 
14056 ; 21280 ; 13982 ; 21240 ; 7 
16020 ; 24240 ; 16000 ; 24200 ; 8 
18084 ; 26280 ; 18016 ; 26240 ; 9 
20092 ; 27360 ; 20028 ; 27320 ; 10 
22058 ; 28360 ; 21920 ; 28320 ; 11 
24084 ; 29440 ; 24020 ; 29400 ; 12 
26106 ; 30520 ; 26040 ; 30480 ; 13 
28092 ; 31560 ; 28022 ; 31520 ; 14 
30102 ; 32560 ; 29960 ; 32520 ; 15 
32062 ; 33600 ; 31996 ; 33560 ; 16 
34076 ; 34640 ; 34006 ; 34600 ; 17 
36086 ; 35680 ; 36016 ; 35640 ; 18 
38154 ; 36720 ; 38018 ; 36680 ; 19 
40098 ; 37720 ; 39962 ; 37680 ; 20 
42128 ; 38760 ; 42058 ; 38720 ; 21 
44150 ; 39800 ; 44078 ; 39760 ; 22 
46098 ; 40800 ; 46030 ; 40760 ; 23 
48122 ; 41840 ; 48050 ; 41800 ; 24 
50210 ; 42840 ; 50070 ; 42800 ; 25 
52112 ; 43800 ; 51972 ; 43760 ; 26 
54144 ; 44880 ; 54074 ; 44840 ; 27 
56144 ; 45920 ; 56074 ; 45880 ; 28 
58190 ; 47000 ; 58122 ; 46960 ; 29 
60166 ; 48000 ; 60026 ; 47960 ; 30 
62200 ; 49080 ; 62134 ; 49040 ; 31 
64192 ; 50120 ; 64126 ; 50080 ; 32 
66184 ; 51160 ; 66114 ; 51120 ; 33 
68250 ; 52200 ; 68112 ; 52160 ; 34 
70208 ; 53240 ; 70142 ; 53200 ; 35 
72174 ; 54280 ; 72108 ; 54240 ; 36 
74206 ; 55360 ; 74136 ; 55320 ; 37 
76172 ; 56360 ; 76036 ; 56320 ; 38 
78216 ; 57440 ; 78144 ; 57400 ; 39 
80210 ; 58440 ; 80138 ; 58400 ; 40 
82236 ; 59440 ; 82164 ; 59400 ; 41 
84238 ; 60440 ; 84166 ; 60400 ; 42 
86250 ; 61480 ; 86184 ; 61440 ; 43 
88258 ; 62480 ; 88120 ; 62440 ; 44 
90252 ; 63520 ; 90184 ; 63480 ; 45 
92226 ; 64560 ; 92162 ; 64520 ; 46 
94274 ; 65640 ; 94206 ; 65600 ; 47 
96316 ; 66680 ; 96180 ; 66640 ; 48 
98294 ; 67720 ; 98224 ; 67680 ; 49 
100242 ; 68800 ; 100184 ; 68760 ; 50 
102290 ; 69880 ; 102154 ; 69840 ; 51 
104266 ; 70960 ; 104202 ; 70920 ; 52 
106302 ; 72080 ; 106238 ; 72040 ; 53 
108364 ; 73080 ; 108220 ; 73040 ; 54 
110344 ; 74080 ; 110202 ; 74040 ; 55 
112296 ; 75080 ; 112228 ; 75040 ; 56 
114274 ; 76120 ; 114206 ; 76080 ; 57 
116308 ; 77200 ; 116242 ; 77160 ; 58 
118288 ; 78240 ; 118152 ; 78200 ; 59 
120296 ; 79360 ; 120232 ; 79320 ; 60 
122372 ; 80480 ; 122230 ; 80440 ; 61 
124310 ; 81560 ; 124244 ; 81520 ; 62 
126304 ; 82640 ; 126238 ; 82600 ; 63 
128306 ; 83720 ; 128170 ; 83680 ; 64 
130330 ; 84920 ; 130278 ; 84880 ; 65 
132350 ; 86080 ; 132292 ; 86040 ; 66 
134348 ; 87240 ; 134216 ; 87200 ; 67 
136354 ; 88320 ; 136286 ; 88280 ; 68 
138358 ; 89360 ; 138290 ; 89320 ; 69 
140380 ; 90400 ; 140310 ; 90360 ; 70 
142416 ; 91440 ; 142280 ; 91400 ; 71 
144382 ; 92480 ; 144320 ; 92440 ; 72 
146354 ; 93560 ; 146288 ; 93520 ; 73 
148374 ; 94640 ; 148244 ; 94600 ; 74 
150412 ; 95760 ; 150350 ; 95720 ; 75 
152414 ; 96840 ; 152348 ; 96800 ; 76 
154404 ; 97880 ; 154272 ; 97840 ; 77 
156400 ; 99000 ; 156340 ; 98960 ; 78 
158462 ; 100120 ; 158336 ; 100080 ; 79 
160382 ; 101200 ; 160318 ; 101160 ; 80 
162458 ; 102360 ; 162330 ; 102320 ; 81 
164390 ; 103400 ; 164316 ; 103360 ; 82 
166412 ; 104440 ; 166346 ; 104400 ; 83 
168400 ; 105480 ; 168332 ; 105440 ; 84 
170496 ; 106560 ; 170360 ; 106520 ; 85 
172424 ; 107600 ; 172360 ; 107560 ; 86 
174454 ; 108720 ; 174390 ; 108680 ; 87 
176448 ; 109800 ; 176384 ; 109760 ; 88 
178484 ; 110960 ; 178422 ; 110920 ; 89 
